date,самочувствие_RU-KGN_2015_2020,хорошее_RU-KGN_2015_2020,болезнь_RU-KGN_2015_2020,состояние_RU-KGN_2015_2020,плохое_RU-KGN_2015_2020,организм_RU-KGN_2015_2020,болезни_RU-KGN_2015_2020,организма_RU-KGN_2015_2020,жизнь_RU-KGN_2015_2020,лекарство_RU-KGN_2015_2020,больного_RU-KGN_2015_2020,болезней_RU-KGN_2015_2020,отменное_RU-KGN_2015_2020,жизни_RU-KGN_2015_2020,врача_RU-KGN_2015_2020,врачи_RU-KGN_2015_2020
2015-01-01,0,0,49,31,0,0,55,0,50,54,0,0,0,60,40,0
2015-02-01,0,0,34,40,100,0,45,68,46,0,0,0,0,79,47,0
2015-03-01,0,41,34,0,0,90,42,70,36,40,0,0,0,86,48,43
2015-04-01,0,67,59,36,0,65,51,0,45,46,0,0,0,80,0,0
2015-05-01,0,0,55,43,0,0,83,0,95,0,0,0,0,68,0,0
2015-06-01,0,0,59,33,0,0,100,0,100,34,0,0,0,62,0,0
2015-07-01,0,0,42,37,0,0,34,0,54,37,0,0,0,46,0,0
2015-08-01,0,63,42,0,0,0,38,0,44,42,0,0,0,59,0,0
2015-09-01,0,0,34,33,0,0,46,0,64,46,0,0,0,84,0,0
2015-10-01,0,0,28,39,0,0,32,0,44,51,0,0,0,73,0,0
2015-11-01,0,0,56,27,0,0,63,91,47,69,0,0,0,78,0,0
2015-12-01,0,0,34,38,0,0,64,0,38,49,0,0,0,77,0,0
2016-01-01,0,0,40,27,0,58,48,0,45,61,0,0,0,61,0,41
2016-02-01,0,0,47,29,0,68,50,0,37,41,0,0,0,70,43,0
2016-03-01,0,0,36,31,0,0,45,75,41,44,0,0,0,71,0,0
2016-04-01,0,35,54,36,0,0,55,82,41,0,0,0,0,82,0,0
2016-05-01,0,34,46,32,85,0,62,0,95,40,0,0,0,70,43,0
2016-06-01,0,0,41,36,0,0,71,0,81,44,0,0,0,55,0,0
2016-07-01,0,0,30,0,0,0,42,92,51,38,0,0,0,44,43,0
2016-08-01,0,0,45,36,0,0,36,0,64,33,0,0,0,38,0,0
2016-09-01,0,0,23,31,0,0,57,63,69,53,0,0,0,82,0,0
2016-10-01,0,0,39,39,0,0,50,74,53,61,0,0,0,80,47,53
2016-11-01,0,0,40,36,0,0,35,54,47,44,0,0,0,67,45,0
2016-12-01,0,38,47,41,0,0,54,0,43,30,0,0,0,63,0,43
2017-01-01,0,41,29,20,0,0,45,62,46,57,0,0,0,67,47,54
2017-02-01,0,0,30,40,0,0,67,79,36,39,0,0,0,63,35,0
2017-03-01,0,0,52,40,0,0,47,63,46,66,0,0,0,86,41,45
2017-04-01,0,0,33,40,0,0,62,71,44,76,0,86,0,84,0,0
2017-05-01,0,42,44,43,0,0,47,0,39,49,0,0,0,62,38,0
2017-06-01,0,47,71,26,0,0,60,0,36,78,0,0,0,55,0,51
2017-07-01,0,0,45,0,0,84,75,65,41,57,0,0,0,57,0,0
2017-08-01,0,0,95,27,0,0,36,0,44,44,0,0,0,51,100,56
2017-09-01,0,0,40,46,0,56,45,0,48,83,0,0,0,67,42,0
2017-10-01,0,0,33,20,0,0,33,0,43,74,0,0,0,66,55,68
2017-11-01,0,35,57,29,0,64,58,70,40,39,0,0,0,73,57,55
2017-12-01,0,41,56,35,0,68,54,60,37,43,0,0,0,78,43,45
2018-01-01,0,0,46,31,73,64,53,46,64,71,0,0,0,70,49,55
2018-02-01,0,37,52,44,0,0,56,63,43,83,0,0,0,71,51,89
2018-03-01,0,0,55,36,0,52,51,45,53,60,0,0,0,76,59,57
2018-04-01,0,0,40,31,0,87,57,100,48,62,0,0,0,81,35,0
2018-05-01,100,0,52,42,0,0,35,55,37,38,0,0,0,66,52,38
2018-06-01,0,0,50,28,0,0,50,0,38,60,0,0,0,56,0,39
2018-07-01,0,43,47,0,0,0,45,57,45,40,0,0,0,50,0,45
2018-08-01,0,0,25,23,74,0,63,0,32,50,0,0,0,48,39,39
2018-09-01,0,0,45,23,0,55,52,56,37,58,0,0,0,65,60,83
2018-10-01,0,46,52,32,0,65,26,80,40,48,0,0,0,72,55,67
2018-11-01,0,0,36,34,0,0,47,75,36,49,0,0,0,77,0,49
2018-12-01,0,0,47,31,0,0,51,82,39,57,0,0,0,62,48,64
2019-01-01,0,0,75,0,0,66,63,0,51,72,0,0,0,79,50,61
2019-02-01,0,35,58,30,0,59,58,78,37,90,0,0,0,68,44,41
2019-03-01,0,0,100,42,0,52,38,58,36,71,0,0,0,65,63,59
2019-04-01,0,0,35,55,0,64,33,54,40,36,0,0,0,79,47,65
2019-05-01,0,0,66,28,0,60,33,87,53,54,0,0,0,64,0,55
2019-06-01,0,0,57,45,0,0,63,0,48,60,0,100,0,48,0,64
2019-07-01,0,0,56,24,0,0,48,0,44,61,0,0,0,44,0,56
2019-08-01,0,0,47,45,0,0,44,0,40,55,0,0,0,50,0,58
2019-09-01,0,44,55,100,0,0,41,0,41,50,0,0,0,80,0,56
2019-10-01,0,0,56,71,0,0,63,77,33,67,0,0,0,78,90,67
2019-11-01,0,0,46,34,0,73,50,84,42,66,0,0,0,74,0,57
2019-12-01,0,41,53,37,0,0,48,63,34,62,0,0,0,73,0,76
2020-01-01,0,0,62,42,0,69,43,76,38,70,0,0,100,68,35,57
2020-02-01,0,30,45,37,0,52,43,61,41,46,0,0,0,72,53,100
2020-03-01,0,37,47,54,0,64,62,95,41,100,100,0,0,70,64,46
2020-04-01,0,38,55,58,0,100,69,66,42,55,0,0,0,97,66,53
2020-05-01,0,0,50,62,0,62,55,93,38,41,0,0,0,72,53,78
2020-06-01,0,0,60,31,0,0,67,56,35,61,0,0,0,58,51,49
2020-07-01,0,0,48,25,0,0,58,77,41,56,0,0,0,49,61,79
2020-08-01,0,0,35,30,0,0,25,60,30,54,0,0,0,54,0,0
2020-09-01,0,52,61,62,80,67,39,95,39,79,0,0,0,76,43,79
2020-10-01,0,0,48,29,0,73,59,66,36,88,0,0,0,83,93,97
2020-11-01,0,0,49,61,0,61,59,78,42,45,72,0,0,100,74,57
2020-12-01,0,100,62,39,0,69,50,77,45,65,0,0,0,84,40,53
